"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.age","Answer.comments","Answer.e1","Answer.e1_comment","Answer.e1_success","Answer.e2","Answer.e2_comment","Answer.e2_success","Answer.e3","Answer.e3_comment","Answer.e3_success","Answer.gender","Answer.nativelang","Approve","Reject"
"2UJX3V0FK0CO08XZSIYPSK9LTO7NGO","2X8L6VCPWZ9R3JA3FRSSFSN3DVU9O4","Emotion Twenty Questions","Pick and emotion and the computer will try to guess it","games, emotions, AI, chatbots, natural language processing, surveys,","$1.25","Tue Oct 09 03:27:41 GMT 2012","10","BatchId:929492;","3600","604800","Tue Oct 23 03:27:41 GMT 2012","","","223RI8IUB2YUPEX2JPCBBL0FJNZ6I4","A2R518WCX3YE4U","Submitted","Tue Oct 09 03:29:47 GMT 2012","Tue Oct 09 03:34:24 GMT 2012","Mon Oct 15 20:34:24 PDT 2012","","","","277","0% (0/0)","0% (0/0)","0% (0/0)","25","This game was fun. I really liked it!","happiness","","yes","downtrodden","","no","melancholy","","no","Female","English"
"2UJX3V0FK0CO08XZSIYPSK9LTO7NGO","2X8L6VCPWZ9R3JA3FRSSFSN3DVU9O4","Emotion Twenty Questions","Pick and emotion and the computer will try to guess it","games, emotions, AI, chatbots, natural language processing, surveys,","$1.25","Tue Oct 09 03:27:41 GMT 2012","10","BatchId:929492;","3600","604800","Tue Oct 23 03:27:41 GMT 2012","","","24DRGNTBJ3MMT3J0G3E6AKHBHQ2V90","ALDSIOBRWMZSI","Submitted","Tue Oct 09 03:30:58 GMT 2012","Tue Oct 09 03:37:11 GMT 2012","Mon Oct 15 20:37:11 PDT 2012","","","","373","0% (0/0)","0% (0/0)","0% (0/0)","48","no, it's good","anger","Did it quickly","yes","love","also very quickly","yes","jealousy","it took awhile, but it figured it out after 6 or so questions","yes","male","english"
"2UJX3V0FK0CO08XZSIYPSK9LTO7NGO","2X8L6VCPWZ9R3JA3FRSSFSN3DVU9O4","Emotion Twenty Questions","Pick and emotion and the computer will try to guess it","games, emotions, AI, chatbots, natural language processing, surveys,","$1.25","Tue Oct 09 03:27:41 GMT 2012","10","BatchId:929492;","3600","604800","Tue Oct 23 03:27:41 GMT 2012","","","2626X3YOCCF0SVJ5OLKIVIIX6KTRQP","A2A2ZQOK7NKE70","Submitted","Tue Oct 09 03:41:45 GMT 2012","Tue Oct 09 03:49:46 GMT 2012","Mon Oct 15 20:49:46 PDT 2012","","","","481","0% (0/0)","0% (0/0)","0% (0/0)","56","","happy","","yes","disgust","","yes","envy","","yes","f","english"
"2UJX3V0FK0CO08XZSIYPSK9LTO7NGO","2X8L6VCPWZ9R3JA3FRSSFSN3DVU9O4","Emotion Twenty Questions","Pick and emotion and the computer will try to guess it","games, emotions, AI, chatbots, natural language processing, surveys,","$1.25","Tue Oct 09 03:27:41 GMT 2012","10","BatchId:929492;","3600","604800","Tue Oct 23 03:27:41 GMT 2012","","","2CQU98JHSTLBJRE02F0IWBJERV3EQZ","A2P4UAMRGH6INU","Submitted","Tue Oct 09 03:29:55 GMT 2012","Tue Oct 09 03:39:29 GMT 2012","Mon Oct 15 20:39:29 PDT 2012","","","","574","100% (1/1)","100% (1/1)","100% (1/1)","28","Interesting game.","Happy","Computer guessed it easily.","Yes","Nervousness","Computer got close, but didn't figure it out.","No","Disillusionment","Computer didn't get very close to guessing it.","No","Female","English"
"2UJX3V0FK0CO08XZSIYPSK9LTO7NGO","2X8L6VCPWZ9R3JA3FRSSFSN3DVU9O4","Emotion Twenty Questions","Pick and emotion and the computer will try to guess it","games, emotions, AI, chatbots, natural language processing, surveys,","$1.25","Tue Oct 09 03:27:41 GMT 2012","10","BatchId:929492;","3600","604800","Tue Oct 23 03:27:41 GMT 2012","","","2EKMEZZ2MIKM3F8TG5P3GTWW5MT6NK","AN25IBDC0DUO7","Submitted","Tue Oct 09 03:30:00 GMT 2012","Tue Oct 09 03:43:12 GMT 2012","Mon Oct 15 20:43:12 PDT 2012","","","","792","0% (0/0)","0% (0/0)","0% (0/0)","20","This was a really fun hit.  I hope to see more with EMO20Q in the future.","Happy","","Yes.","Envious","It got really close.  It picked jealousy, but jealousy and envy are NOT the same, even though people tend to use them interchangeably.","No","Maudlin","It got close right at the end with sadness and regret, but if it had gone closer to despair, it may have gotten it.","No","Female","English"
"2UJX3V0FK0CO08XZSIYPSK9LTO7NGO","2X8L6VCPWZ9R3JA3FRSSFSN3DVU9O4","Emotion Twenty Questions","Pick and emotion and the computer will try to guess it","games, emotions, AI, chatbots, natural language processing, surveys,","$1.25","Tue Oct 09 03:27:41 GMT 2012","10","BatchId:929492;","3600","604800","Tue Oct 23 03:27:41 GMT 2012","","","2FZDZKPFE4EGTNR7T1C8Q9NZ4A76GC","A2BVF9EKS2OH8E","Submitted","Tue Oct 09 03:29:03 GMT 2012","Tue Oct 09 03:37:40 GMT 2012","Mon Oct 15 20:37:40 PDT 2012","","","","517","100% (2/2)","100% (2/2)","100% (1/1)","43","","happy","","yes","sad","","yes","love","I also thought of hate which it did not get.","yes","Male","English"
"2UJX3V0FK0CO08XZSIYPSK9LTO7NGO","2X8L6VCPWZ9R3JA3FRSSFSN3DVU9O4","Emotion Twenty Questions","Pick and emotion and the computer will try to guess it","games, emotions, AI, chatbots, natural language processing, surveys,","$1.25","Tue Oct 09 03:27:41 GMT 2012","10","BatchId:929492;","3600","604800","Tue Oct 23 03:27:41 GMT 2012","","","2JCSSZVXX2Q4L085HKPGVIW1VWY6OZ","A22V3AGLJL38GV","Submitted","Tue Oct 09 03:30:02 GMT 2012","Tue Oct 09 03:36:17 GMT 2012","Mon Oct 15 20:36:17 PDT 2012","","","","375","0% (0/0)","0% (0/0)","0% (0/0)","26","thank you. Pay is fair.","happy","It guessed quickly.","yes","excited","it took longer.","yes","depressed","n/a","yes","female","English"
"2UJX3V0FK0CO08XZSIYPSK9LTO7NGO","2X8L6VCPWZ9R3JA3FRSSFSN3DVU9O4","Emotion Twenty Questions","Pick and emotion and the computer will try to guess it","games, emotions, AI, chatbots, natural language processing, surveys,","$1.25","Tue Oct 09 03:27:41 GMT 2012","10","BatchId:929492;","3600","604800","Tue Oct 23 03:27:41 GMT 2012","","","2K22SEIUUU004WY5109I08S226VRRQ","A353NCHR9BZ5YH","Submitted","Tue Oct 09 03:33:07 GMT 2012","Tue Oct 09 03:39:39 GMT 2012","Mon Oct 15 20:39:39 PDT 2012","","","","392","0% (0/0)","0% (0/0)","0% (0/0)","29","","Happy","","yes","frustrated","","yes","discontent","","no","male","english"
"2UJX3V0FK0CO08XZSIYPSK9LTO7NGO","2X8L6VCPWZ9R3JA3FRSSFSN3DVU9O4","Emotion Twenty Questions","Pick and emotion and the computer will try to guess it","games, emotions, AI, chatbots, natural language processing, surveys,","$1.25","Tue Oct 09 03:27:41 GMT 2012","10","BatchId:929492;","3600","604800","Tue Oct 23 03:27:41 GMT 2012","","","2QQQ4J3NAB6BVST0FUPI11TJNH5ER0","AKFH16PLQSYHY","Submitted","Tue Oct 09 03:30:54 GMT 2012","Tue Oct 09 03:41:58 GMT 2012","Mon Oct 15 20:41:58 PDT 2012","","","","664","0% (0/0)","0% (0/0)","0% (0/0)","26","","love","","yes","curiosity","","no","confusion","","yes","f","english"
"2UJX3V0FK0CO08XZSIYPSK9LTO7NGO","2X8L6VCPWZ9R3JA3FRSSFSN3DVU9O4","Emotion Twenty Questions","Pick and emotion and the computer will try to guess it","games, emotions, AI, chatbots, natural language processing, surveys,","$1.25","Tue Oct 09 03:27:41 GMT 2012","10","BatchId:929492;","3600","604800","Tue Oct 23 03:27:41 GMT 2012","","","2SHDOBDDP8PJCQ8Y44OMJ3Q3H3QE3X","A3TSHG5R492EHU","Submitted","Tue Oct 09 03:38:19 GMT 2012","Tue Oct 09 03:46:56 GMT 2012","Mon Oct 15 20:46:56 PDT 2012","","","","517","0% (0/0)","0% (0/0)","0% (0/0)","26","","hate","came close with anger","no","stupor","not even close","no","maniacal","not even close","no","male","english"
