"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.age","Answer.comments","Answer.e1","Answer.e1_comment","Answer.e1_success","Answer.e2","Answer.e2_comment","Answer.e2_success","Answer.e3","Answer.e3_comment","Answer.e3_success","Answer.gender","Answer.nativelang","Approve","Reject"
"2HAPW1INMHGY6AXOE626JFMFHBW5IV","20VD21O3W5XHGP3AJETK6EPLSRFAGR","Emotion Twenty Questions","Pick and emotion and the computer will try to guess it","games, emotions, AI, chatbots, natural language processing, surveys,","$1.50","Tue Oct 02 04:47:00 GMT 2012","10","BatchId:924112;","3600","604800","Tue Oct 16 04:47:00 GMT 2012","","","21QNJ92NJKM0LH04KQ8Y42GTW0J8D1","ATYC59GLGIMQ8","Submitted","Tue Oct 02 04:47:38 GMT 2012","Tue Oct 02 04:56:27 GMT 2012","Mon Oct 08 21:56:27 PDT 2012","","","","529","0% (0/0)","0% (0/0)","0% (0/0)","25","","Happy","","Yes","Love","","Yes","Disappointed","The computer got the word wrong, but correctly said, ""Dammit, that is disappointing I got the answer wrong.""","No","Male","English"
"2HAPW1INMHGY6AXOE626JFMFHBW5IV","20VD21O3W5XHGP3AJETK6EPLSRFAGR","Emotion Twenty Questions","Pick and emotion and the computer will try to guess it","games, emotions, AI, chatbots, natural language processing, surveys,","$1.50","Tue Oct 02 04:47:00 GMT 2012","10","BatchId:924112;","3600","604800","Tue Oct 16 04:47:00 GMT 2012","","","259VKCJ011K2NAXS0GHWE18NBXM8AZ","A2CCYCK3449FLH","Submitted","Tue Oct 02 04:47:28 GMT 2012","Tue Oct 02 04:51:59 GMT 2012","Mon Oct 08 21:51:59 PDT 2012","","","","271","0% (0/0)","0% (0/0)","0% (0/0)","28","","happy","","yes","confused","","no","perplexed","","no","female","English"
"2HAPW1INMHGY6AXOE626JFMFHBW5IV","20VD21O3W5XHGP3AJETK6EPLSRFAGR","Emotion Twenty Questions","Pick and emotion and the computer will try to guess it","games, emotions, AI, chatbots, natural language processing, surveys,","$1.50","Tue Oct 02 04:47:00 GMT 2012","10","BatchId:924112;","3600","604800","Tue Oct 16 04:47:00 GMT 2012","","","27EB3Q39Z0B6AZ2RK05V0TVRR7GVK5","AWR5NJZJQ85HB","Submitted","Tue Oct 02 04:48:14 GMT 2012","Tue Oct 02 04:53:58 GMT 2012","Mon Oct 08 21:53:58 PDT 2012","","","","344","0% (0/0)","0% (0/0)","0% (0/0)","35","Super fun HIT. Thanks!","happy","","yes","furious","","yes","satisfied","It asked if it was *like* satisfaction and I answered yes however, it never guessed satisfied.","no","f","english"
"2HAPW1INMHGY6AXOE626JFMFHBW5IV","20VD21O3W5XHGP3AJETK6EPLSRFAGR","Emotion Twenty Questions","Pick and emotion and the computer will try to guess it","games, emotions, AI, chatbots, natural language processing, surveys,","$1.50","Tue Oct 02 04:47:00 GMT 2012","10","BatchId:924112;","3600","604800","Tue Oct 16 04:47:00 GMT 2012","","","28GCCF0CP5KX5ZW89EOYO4PMEEPVW1","A6UTBDGP9614G","Submitted","Tue Oct 02 04:48:53 GMT 2012","Tue Oct 02 04:55:38 GMT 2012","Mon Oct 08 21:55:38 PDT 2012","","","","405","0% (0/0)","0% (0/0)","0% (0/0)","22","","sad","no","yes","joy","no","no","remorse","no","yes","male","English"
"2HAPW1INMHGY6AXOE626JFMFHBW5IV","20VD21O3W5XHGP3AJETK6EPLSRFAGR","Emotion Twenty Questions","Pick and emotion and the computer will try to guess it","games, emotions, AI, chatbots, natural language processing, surveys,","$1.50","Tue Oct 02 04:47:00 GMT 2012","10","BatchId:924112;","3600","604800","Tue Oct 16 04:47:00 GMT 2012","","","2D5HJHP4BDDKWACTIOO953G3CYNY5W","A28XLOE0FMG1ZX","Submitted","Tue Oct 02 04:48:00 GMT 2012","Tue Oct 02 04:51:10 GMT 2012","Mon Oct 08 21:51:10 PDT 2012","","","","190","0% (0/0)","0% (0/0)","0% (0/0)","27","","happiness","","yes","love","","yes","embarrassment","","no","f","english"
"2HAPW1INMHGY6AXOE626JFMFHBW5IV","20VD21O3W5XHGP3AJETK6EPLSRFAGR","Emotion Twenty Questions","Pick and emotion and the computer will try to guess it","games, emotions, AI, chatbots, natural language processing, surveys,","$1.50","Tue Oct 02 04:47:00 GMT 2012","10","BatchId:924112;","3600","604800","Tue Oct 16 04:47:00 GMT 2012","","","2DPUYT3DHJHPKHRYBCVYGRSXGOUT0H","A3RYH6OUH7BJ4Z","Submitted","Tue Oct 02 04:48:53 GMT 2012","Tue Oct 02 05:11:54 GMT 2012","Mon Oct 08 22:11:54 PDT 2012","","","","1381","100% (2/2)","100% (2/2)","100% (1/1)","22","","sad","","yes","anxious","I may have inadvertently sent it in the wrong direction, since it later guessed ""worried"" for the Word 3 but not this word.","no","ambivalent","It guessed ""confused"", which is close but not close enough in my opinion.","no","male","English"
"2HAPW1INMHGY6AXOE626JFMFHBW5IV","20VD21O3W5XHGP3AJETK6EPLSRFAGR","Emotion Twenty Questions","Pick and emotion and the computer will try to guess it","games, emotions, AI, chatbots, natural language processing, surveys,","$1.50","Tue Oct 02 04:47:00 GMT 2012","10","BatchId:924112;","3600","604800","Tue Oct 16 04:47:00 GMT 2012","","","2KUSEIUUU00O6QYVVE9SGS2U9XZSSE","A3PRR0UOG2C92U","Submitted","Tue Oct 02 04:47:21 GMT 2012","Tue Oct 02 05:29:01 GMT 2012","Mon Oct 08 22:29:01 PDT 2012","","","","2500","0% (0/0)","0% (0/0)","0% (0/0)","22","","happy","","Yes","frustration","","Yes","downcast","","No","Male","English"
"2HAPW1INMHGY6AXOE626JFMFHBW5IV","20VD21O3W5XHGP3AJETK6EPLSRFAGR","Emotion Twenty Questions","Pick and emotion and the computer will try to guess it","games, emotions, AI, chatbots, natural language processing, surveys,","$1.50","Tue Oct 02 04:47:00 GMT 2012","10","BatchId:924112;","3600","604800","Tue Oct 16 04:47:00 GMT 2012","","","2U91Q6SVQ8H8OS4FXHWOJVCI8ION4Q","A1C9ZEZKBZNZBO","Submitted","Tue Oct 02 04:49:01 GMT 2012","Tue Oct 02 04:58:32 GMT 2012","Mon Oct 08 21:58:32 PDT 2012","","","","571","0% (0/0)","0% (0/0)","0% (0/0)","35","","anger","It guessed this one easily.","yes","flustered","This took about 10 guesses.","yes","guilty","","yes","female","English"
"2HAPW1INMHGY6AXOE626JFMFHBW5IV","20VD21O3W5XHGP3AJETK6EPLSRFAGR","Emotion Twenty Questions","Pick and emotion and the computer will try to guess it","games, emotions, AI, chatbots, natural language processing, surveys,","$1.50","Tue Oct 02 04:47:00 GMT 2012","10","BatchId:924112;","3600","604800","Tue Oct 16 04:47:00 GMT 2012","","","2WGFXRDS4IC1U4R8OF6M91A2PMPVY0","AQQ29S9XAITOM","Submitted","Tue Oct 02 04:48:54 GMT 2012","Tue Oct 02 04:57:46 GMT 2012","Mon Oct 08 21:57:46 PDT 2012","","","","532","0% (0/0)","0% (0/0)","0% (0/0)","33","","happy","Very shocked that the computer got it correct.","Yes","enjoyable","I thought the computer would have got this one right after how quickly the first word was guessed.","no","irritated","","no","Male","English"
"2HAPW1INMHGY6AXOE626JFMFHBW5IV","20VD21O3W5XHGP3AJETK6EPLSRFAGR","Emotion Twenty Questions","Pick and emotion and the computer will try to guess it","games, emotions, AI, chatbots, natural language processing, surveys,","$1.50","Tue Oct 02 04:47:00 GMT 2012","10","BatchId:924112;","3600","604800","Tue Oct 16 04:47:00 GMT 2012","","","2Z5OBDDP8PJW00RYZTDBBQ396R2F4B","A667L63P4M8NO","Submitted","Tue Oct 02 04:47:38 GMT 2012","Tue Oct 02 04:52:59 GMT 2012","Mon Oct 08 21:52:59 PDT 2012","","","","321","0% (0/0)","0% (0/0)","0% (0/0)","31","","happy","","yes","excited","","no","enamored","","no","Female","English"
